resid,z_min,z_max,z_thickness
20,39.57999801635742,50.61000061035156,11.03000259399414
21,31.90999984741211,49.310001373291016,17.400001525878906
22,40.12000274658203,53.57999801635742,13.45999526977539
23,35.51000213623047,51.970001220703125,16.459999084472656
24,47.630001068115234,56.279998779296875,8.64999771118164
25,43.34000015258789,52.63999938964844,9.299999237060547
26,34.290000915527344,51.30000305175781,17.01000213623047
27,39.790000915527344,54.980003356933594,15.19000244140625
28,45.0099983215332,58.029998779296875,13.020000457763672
29,40.38999938964844,51.43000030517578,11.040000915527344
30,42.25,54.82999801635742,12.579998016357422
31,40.8900032043457,55.72999954223633,14.839996337890625
32,38.02000045776367,53.37999725341797,15.359996795654297
33,36.650001525878906,49.939998626708984,13.289997100830078
34,46.79999923706055,57.78999710083008,10.989997863769531
35,34.94999694824219,51.2599983215332,16.310001373291016
36,36.189998626708984,51.56999969482422,15.380001068115234
37,32.959999084472656,50.19000244140625,17.230003356933594
38,35.599998474121094,48.16999816894531,12.569999694824219
39,41.17000198364258,46.529998779296875,5.359996795654297
40,46.58000183105469,51.58000183105469,5.0
41,43.26000213623047,56.269996643066406,13.009994506835938
42,39.900001525878906,53.5099983215332,13.609996795654297
43,37.86000061035156,50.59000015258789,12.729999542236328
44,39.709999084472656,52.77000045776367,13.060001373291016
45,42.04999923706055,56.83000183105469,14.78000259399414
46,42.15999984741211,49.470001220703125,7.310001373291016
47,45.31999969482422,55.310001373291016,9.990001678466797
48,36.709999084472656,49.22999954223633,12.520000457763672
49,44.09000015258789,55.56999969482422,11.479999542236328
50,36.25,50.34000015258789,14.09000015258789
51,37.19000244140625,53.81999969482422,16.62999725341797
52,37.95000076293945,50.70000076293945,12.75
53,37.93000030517578,48.97999572753906,11.049995422363281
54,42.040000915527344,56.36000061035156,14.319999694824219
55,42.35000228881836,55.43000030517578,13.079998016357422
56,39.80999755859375,53.16999816894531,13.360000610351562
57,36.97999954223633,50.94999694824219,13.96999740600586
58,44.16999816894531,53.839996337890625,9.669998168945312
59,38.380001068115234,51.5,13.119998931884766
60,36.38999938964844,48.689998626708984,12.299999237060547
61,43.400001525878906,51.07999801635742,7.679996490478516
62,42.2599983215332,51.209999084472656,8.950000762939453
