resid,z_min,z_max,z_thickness
20,42.119998931884766,54.40999984741211,12.290000915527344
21,38.40999984741211,54.47999954223633,16.06999969482422
22,38.68000030517578,53.909996032714844,15.229995727539062
23,38.689998626708984,51.81999969482422,13.130001068115234
24,39.22999954223633,50.349998474121094,11.119998931884766
25,35.22999954223633,47.589996337890625,12.359996795654297
26,33.48999786376953,49.62999725341797,16.139999389648438
27,33.790000915527344,48.769996643066406,14.979995727539062
28,40.869998931884766,51.69000244140625,10.820003509521484
29,35.07999801635742,50.77000045776367,15.69000244140625
30,43.13999938964844,54.52000045776367,11.380001068115234
31,37.63999938964844,47.5099983215332,9.869998931884766
32,37.0099983215332,51.39999771118164,14.389999389648438
33,34.66999816894531,49.439998626708984,14.770000457763672
34,37.119998931884766,51.12999725341797,14.009998321533203
35,33.2599983215332,49.33000183105469,16.070003509521484
36,40.869998931884766,51.19999694824219,10.329998016357422
37,37.52000045776367,54.54999923706055,17.029998779296875
38,36.279998779296875,49.400001525878906,13.120002746582031
39,37.5099983215332,50.66999816894531,13.15999984741211
40,31.34000015258789,45.07999801635742,13.739997863769531
41,38.51000213623047,51.160003662109375,12.650001525878906
42,40.849998474121094,52.15999984741211,11.310001373291016
43,39.56999969482422,53.81999969482422,14.25
44,34.529998779296875,50.22999572753906,15.699996948242188
45,38.67000198364258,53.41999816894531,14.749996185302734
46,41.52000045776367,56.05999755859375,14.539997100830078
47,32.47999954223633,48.9900016784668,16.51000213623047
48,36.27000045776367,51.19999694824219,14.929996490478516
49,37.099998474121094,53.18000030517578,16.080001831054688
50,38.55999755859375,52.290000915527344,13.730003356933594
51,30.969999313354492,48.16999816894531,17.19999885559082
52,34.529998779296875,48.20000076293945,13.670001983642578
53,44.060001373291016,53.810001373291016,9.75
54,37.20000076293945,51.39999771118164,14.199996948242188
55,41.30000305175781,53.709999084472656,12.409996032714844
56,35.400001525878906,52.659996032714844,17.259994506835938
57,36.72999954223633,52.959999084472656,16.229999542236328
58,43.9900016784668,53.730003356933594,9.740001678466797
59,38.709999084472656,53.279998779296875,14.569999694824219
60,31.73000144958496,46.98999786376953,15.25999641418457
61,35.93000030517578,49.599998474121094,13.669998168945312
62,45.869998931884766,55.91999816894531,10.049999237060547
63,33.7599983215332,44.65999984741211,10.900001525878906
64,38.779998779296875,50.970001220703125,12.19000244140625
65,44.310001373291016,53.46000289916992,9.150001525878906
66,38.68000030517578,48.82999801635742,10.14999771118164
67,41.310001373291016,57.290000915527344,15.979999542236328
68,35.869998931884766,48.790000915527344,12.920001983642578
69,40.25,53.349998474121094,13.099998474121094
70,38.68000030517578,55.5,16.81999969482422
71,40.25,54.380001068115234,14.130001068115234
72,48.37999725341797,53.06999969482422,4.69000244140625
73,39.970001220703125,51.35000228881836,11.380001068115234
74,44.349998474121094,54.45000076293945,10.10000228881836
75,41.39999771118164,51.310001373291016,9.910003662109375
76,45.43000030517578,54.36000061035156,8.930000305175781
77,41.040000915527344,50.73999786376953,9.699996948242188
78,38.060001373291016,54.40999984741211,16.349998474121094
79,35.599998474121094,49.970001220703125,14.370002746582031
80,37.97999954223633,50.90999984741211,12.930000305175781
81,34.84000015258789,48.95000076293945,14.110000610351562
82,42.77000045776367,56.83000183105469,14.060001373291016
83,34.2400016784668,49.47999954223633,15.239997863769531
84,37.75,51.05999755859375,13.30999755859375
85,40.31999969482422,52.099998474121094,11.779998779296875
86,41.53999710083008,54.12000274658203,12.580005645751953
87,42.43000030517578,50.019996643066406,7.589996337890625
88,42.62000274658203,52.67000198364258,10.049999237060547
89,39.560001373291016,51.43000030517578,11.869998931884766
90,42.04999923706055,52.119998931884766,10.069999694824219
91,40.48999786376953,52.31999969482422,11.830001831054688
92,38.38999938964844,50.019996643066406,11.629997253417969
93,45.06999969482422,51.0099983215332,5.939998626708984
94,37.060001373291016,48.7599983215332,11.699996948242188
95,36.11000061035156,50.91999816894531,14.80999755859375
96,40.310001373291016,53.540000915527344,13.229999542236328
97,42.71999740600586,52.35000228881836,9.6300048828125
98,33.97999954223633,49.099998474121094,15.119998931884766
99,51.119998931884766,55.619998931884766,4.5
100,34.48999786376953,50.939998626708984,16.450000762939453
101,33.45000076293945,47.35000228881836,13.900001525878906
144,20.599998474121094,29.829999923706055,9.230001449584961
145,17.439998626708984,31.350000381469727,13.910001754760742
146,23.31999969482422,38.31999969482422,15.0
147,22.25,38.18000030517578,15.930000305175781
148,20.469999313354492,31.649999618530273,11.180000305175781
149,20.869998931884766,28.31999969482422,7.450000762939453
150,21.639999389648438,36.119998931884766,14.479999542236328
151,18.81999969482422,31.5,12.680000305175781
152,21.75,34.71999740600586,12.96999740600586
153,16.5,28.8700008392334,12.370000839233398
154,19.889999389648438,33.38999938964844,13.5
155,16.149999618530273,26.270000457763672,10.120000839233398
156,20.220001220703125,33.43000030517578,13.209999084472656
157,22.349998474121094,34.64999771118164,12.299999237060547
158,15.850000381469727,32.42000198364258,16.57000160217285
159,22.190000534057617,34.38999938964844,12.19999885559082
160,20.309999465942383,31.149999618530273,10.84000015258789
161,22.520000457763672,35.15999984741211,12.639999389648438
162,20.880001068115234,34.57999801635742,13.699996948242188
163,15.539999961853027,29.209999084472656,13.669999122619629
164,20.899999618530273,29.149999618530273,8.25
165,20.6200008392334,30.56999969482422,9.94999885559082
166,21.56999969482422,33.279998779296875,11.709999084472656
167,16.84000015258789,29.579999923706055,12.739999771118164
168,22.219999313354492,36.22999954223633,14.010000228881836
169,17.170000076293945,33.650001525878906,16.48000144958496
170,21.470001220703125,37.44999694824219,15.979995727539062
171,20.10999870300293,35.86000061035156,15.750001907348633
